Node Number = 390
Cell Number = 721
251 6000.000000 33774.990700 580.000000
252 4500.000000 31176.914500 580.000000
253 3000.000000 28578.838300 580.000000
254 1500.000000 25980.762100 580.000000
255 0.000000 23382.685900 580.000000
256 15000.000000 44167.295600 580.000000
257 16500.000000 41569.219400 580.000000
258 18000.000000 38971.143200 580.000000
259 19500.000000 36373.067000 580.000000
260 21000.000000 33774.990700 580.000000
261 22500.000000 31176.914500 580.000000
262 24000.000000 28578.838300 580.000000
263 25500.000000 25980.762100 580.000000
264 27000.000000 23382.685900 580.000000
265 28500.000000 20784.609700 580.000000
266 13500.000000 41569.219400 580.000000
267 12000.000000 38971.143200 580.000000
268 10500.000000 36373.067000 580.000000
269 9000.000000 33774.990700 580.000000
270 7500.000000 31176.914500 580.000000
271 6000.000000 28578.838300 580.000000
272 4500.000000 25980.762100 580.000000
273 3000.000000 23382.685900 580.000000
274 1500.000000 20784.609700 580.000000
275 0.000000 18186.533500 580.000000
276 15000.000000 38971.143200 580.000000
277 16500.000000 36373.067000 580.000000
278 18000.000000 33774.990700 580.000000
279 19500.000000 31176.914500 580.000000
280 21000.000000 28578.838300 580.000000
281 22500.000000 25980.762100 580.000000
282 24000.000000 23382.685900 580.000000
283 25500.000000 20784.609700 580.000000
284 27000.000000 18186.533500 580.000000
285 28500.000000 15588.457300 580.000000
286 13500.000000 36373.067000 580.000000
287 12000.000000 33774.990700 580.000000
288 10500.000000 31176.914500 580.000000
289 9000.000000 28578.838300 580.000000
290 7500.000000 25980.762100 580.000000
291 6000.000000 23382.685900 580.000000
292 4500.000000 20784.609700 580.000000
293 3000.000000 18186.533500 580.000000
294 1500.000000 15588.457300 580.000000
295 0.000000 12990.381100 580.000000
296 15000.000000 33774.990700 580.000000
297 16500.000000 31176.914500 580.000000
298 18000.000000 28578.838300 580.000000
299 19500.000000 25980.762100 580.000000
300 21000.000000 23382.685900 580.000000
301 22500.000000 20784.609700 580.000000
302 24000.000000 18186.533500 580.000000
303 25500.000000 15588.457300 580.000000
304 27000.000000 12990.381100 580.000000
305 28500.000000 10392.304800 580.000000
306 13500.000000 31176.914500 580.000000
307 12000.000000 28578.838300 580.000000
308 10500.000000 25980.762100 580.000000
309 9000.000000 23382.685900 580.000000
310 7500.000000 20784.609700 580.000000
311 6000.000000 18186.533500 580.000000
312 4500.000000 15588.457300 580.000000
313 3000.000000 12990.381100 580.000000
314 1500.000000 10392.304800 580.000000
315 0.000000 7794.228600 580.000000
316 15000.000000 28578.838300 580.000000
317 16500.000000 25980.762100 580.000000
318 18000.000000 23382.685900 580.000000
319 19500.000000 20784.609700 580.000000
320 21000.000000 18186.533500 580.000000
321 22500.000000 15588.457300 580.000000
322 24000.000000 12990.381100 580.000000
323 25500.000000 10392.304800 580.000000
324 27000.000000 7794.228600 580.000000
325 28500.000000 5196.152400 580.000000
326 13500.000000 25980.762100 580.000000
327 12000.000000 23382.685900 580.000000
328 10500.000000 20784.609700 580.000000
329 9000.000000 18186.533500 580.000000
330 7500.000000 15588.457300 580.000000
331 6000.000000 12990.381100 580.000000
332 4500.000000 10392.304800 580.000000
333 3000.000000 7794.228600 580.000000
334 1500.000000 5196.152400 580.000000
335 0.000000 2598.076200 580.000000
336 15000.000000 23382.685900 580.000000
337 16500.000000 20784.609700 580.000000
338 18000.000000 18186.533500 580.000000
339 19500.000000 15588.457300 580.000000
340 21000.000000 12990.381100 580.000000
341 22500.000000 10392.304800 580.000000
342 24000.000000 7794.228600 580.000000
343 25500.000000 5196.152400 580.000000
344 27000.000000 2598.076200 580.000000
345 28500.000000 0.000000 580.000000
346 13500.000000 20784.609700 580.000000
347 12000.000000 18186.533500 580.000000
348 10500.000000 15588.457300 580.000000
349 9000.000000 12990.381100 580.000000
350 7500.000000 10392.304800 580.000000
351 6000.000000 7794.228600 580.000000
352 4500.000000 5196.152400 580.000000
